time_s,pull_point_y_m,displacement_m,displacement_in,applied_force_n,applied_force_lbf,target_pull_y_m,commanded_displacement_m,commanded_displacement_in,base_center_y_m,base_bottom_y_m,base_top_y_m
0.05,0.3402381086165376,-0.027970146041054744,-1.1011868520100294,-969.3147606273011,-217.91062686785304,0.3694782546575923,0.00127,0.05,0.1497127534522356,0.07351275335223557,0.2259127535522356
0.05416666666666667,0.4659068269526774,0.09769857229508505,3.8464004840584667,-2356.382587394085,-529.7358790113076,0.3695840879909257,0.0013758333333333333,0.05416666666666667,0.16881937034416708,0.09261937024416707,0.2450193704441671
0.058333333333333334,0.3910443380706364,0.02283608341304405,0.8990584020883485,-1126.5238055012467,-253.25262609172523,0.369689921324259,0.0014816666666666667,0.05833333333333334,0.2005189829063344,0.1243189828063344,0.2767189830063344
0.0625,0.5157722661288509,0.14756401147125853,5.80960675083695,-2474.954261748201,-556.3918518044538,0.36979575465759235,0.0015875,0.0625,0.21868480952034056,0.14248480942034053,0.2948848096203406
0.06666666666666667,0.43960974307434814,0.07140148841675581,2.8110822211321187,-1221.7611174718188,-274.66282553951453,0.36990158799092565,0.0016933333333333331,0.06666666666666667,0.24908438791004617,0.17288438781004617,0.32528438801004617
0.07083333333333333,0.5627940433883445,0.19458578873075216,7.660857824045361,-2542.8860143659645,-571.6635173133839,0.370007421324259,0.0017991666666666666,0.07083333333333333,0.26570658677983416,0.18950658667983417,0.34190658687983416
0.075,0.48487771315228434,0.11666945849469201,4.59328576750756,-1272.2841539680396,-286.02085597643264,0.3701132546575923,0.0019049999999999998,0.075,0.29435235798798237,0.21815235788798237,0.37055235808798237
0.07916666666666666,0.6061694328868004,0.23796117822920804,9.368550323984568,-2574.3753350166908,-578.7425982078106,0.3702190879909257,0.0020108333333333332,0.07916666666666666,0.3090819762782901,0.2328819761782901,0.3852819763782901
0.08333333333333333,0.5262549163196255,0.15804666166203318,6.222309514253276,-1290.7743131473128,-290.1776091192758,0.370324921324259,0.0021166666666666664,0.08333333333333333,0.3357295611553235,0.2595295610553235,0.4119295612553235
0.0875,0.6454825245154572,0.27727426985786485,10.916309836923814,-2579.853090032265,-579.9740465234225,0.37043075465759234,0.0022224999999999996,0.0875,0.3483950679069469,0.2721950678069469,0.4245950680069469
0.09166666666666666,0.563470599157653,0.19526234450006064,7.687493877955143,-1286.5411253265356,-289.2259506393431,0.37053658799092565,0.002328333333333333,0.09166666666666665,0.372945243993351,0.296745243893351,0.449145244093351
0.09583333333333333,0.6805846470887389,0.31237639243114657,12.298283166580575,-2566.9781680748056,-577.0796489256712,0.370642421324259,0.0024341666666666665,0.09583333333333333,0.3834971904802286,0.3072971903802286,0.4596971905802286
0.1,0.59647488337835,0.22826662872075765,8.986875146486522,-1266.4150925610027,-284.70143848452767,0.3707482546575923,0.00254,0.1,0.405949528214048,0.329749528114048,0.482149528314048
0.10416666666666667,0.711508153592241,0.34329989893464863,13.515744052545221,-2541.3728269237954,-571.3233392437976,0.3708540879909257,0.0026458333333333334,0.10416666666666667,0.4144206969837307,0.3382206968837307,0.4906206970837307
0.10833333333333334,0.625365629657356,0.25715737499976365,10.1243061023529,-1235.4065266545417,-277.7304355560495,0.370959921324259,0.0027516666666666666,0.10833333333333334,0.434840274493054,0.358640274393054,0.511040274593054
0.1125,0.7384046010962737,0.3701963464386814,14.574659308609503,-2507.1644028997907,-563.6329795938445,0.37106575465759234,0.0028575,0.1125,0.4413171444877634,0.3651171443877634,0.5175171445877634
0.11666666666666667,0.6503361559927011,0.2821279013351088,11.107397690358614,-1197.190353023467,-269.1390979527215,0.37117158799092564,0.0029633333333333334,0.11666666666666668,0.45981080082839915,0.38361080072839915,0.5360108009283991
